RENGLÓN|CÓDIGO DE INSUMO|NOMBRE|CARACTERÍSTICAS|NOMBRE DE LA PRESENTACIÓN|CANTIDAD Y UNIDAD DE MEDIDA DE LA PRESENTACIÓN|CÓDIGO DE PRESENTACIÓN
266|26566|BROMURO DE OTILONIO|Concentración: 40mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|20 Unidad(es)|28978
266|26566|BROMURO DE OTILONIO|Concentración: 40mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|28979
266|26578|PASTA LASSAR (ÓXIDO DE ZINC)|Concentración: 25%; Forma farmacéutica: Crema; Vía de administración: Tópico;|Tarro|550 Gramos|139980
266|26578|PASTA LASSAR (ÓXIDO DE ZINC)|Concentración: 25%; Forma farmacéutica: Crema; Vía de administración: Tópico;|Tubo|120 Gramos|43887
242|26681|PAPEL CREPÉ| Presentación: Pliego; |Unidad|1 Unidad(es)|29152
292|26688|CEPILLO|Forma: Gusano; Material de cerdas: Plástico; Uso: Sanitario;|Unidad|1 Unidad(es)|35042
254|26721|GUANTES|Material: Hule; Tamaño: Mediano; Uso: Limpieza;|Paquete|2 Unidad(es)|29186
211|26735|MIEL|Clase: De abeja;|Botella|1000 Gramos|39655
211|26735|MIEL|Clase: De abeja;|Botella|340 Gramos|41960
211|26735|MIEL|Clase: De abeja;|Envase|1 Galón|33106
211|26735|MIEL|Clase: De abeja;|Envase|240 Gramos|178743
211|26746|HARINA|Tipo: Haba;|Bolsa|1 Libra|29219
211|26746|HARINA|Tipo: Haba;|Paquete|425 Gramos|32449
233|26795|PANTALÓN|Material: Lona; Sexo: Femenino; Talla: 38; Tipo: Casual;|Unidad|1 Unidad(es)|29267
266|26858|DIAZEPAM|Concentración: 10mg/2ml; Forma farmacéutica: Solución inyectable; Vía de administración: Intravenosa;|Ampolla|2 Mililitro|76020
243|26908|SERVILLETAS|Color: Blanca; Diseño: Liso; Material: Papel; Tamaño: Pequeña;|Paquete|1000 Unidad(es)|46051
243|26910|SERVILLETAS|Color: Blanca; Diseño: Liso; Material: Papel; Tamaño: Grande;|Fardo|10 Unidad(es)|95103
243|26912|SERVILLETAS|Color: Blanca; Diseño: Estampado; Material: Papel;|Paquete|1000 Unidad(es)|101208
329|27143|LOCKER|Alto: 181 Centímetro(s); Compartimientos: 2; Cuenta con: Ranuras de ventilación, puertas con portatarjeta y cerradura con llave; Fondo: 45 Centímetro(s); Frente: 38 Centímetro(s); Material: Metal;|Unidad|1 Unidad(es)|29618
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Bolsa|1 Libra|34769
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Bolsa|2 Libra|42533
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Bolsa|4 Libra|133211
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Bolsa|5 Libra|30048
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Empaque|800 Gramos|154847
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Saco|1 Quintal|30049
211|27573|HARINA|Tipo: Maíz nixtamalizada;|Saco|25 Libra|44697
266|27715|ACETAMINOFÉN (PARACETAMOL)|Concentración: 500mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Unidad|1 Unidad(es)|154624
292|27750|ESPONJA|Alto: 0.5 Centímetro(s); Ancho: 10.5 Centímetro(s); Clase: Suave; Largo: 15 Centímetro(s); Material: Fibra; Uso: Lavatrastos;|Unidad|1 Unidad(es)|30230
291|27806|SELLO|Ancho: 20 Milímetro(s); Arte de sello: Variado; Forma: Circular; Largo: 20 Milímetro(s); Líneas: 3; Material: Plástico; Tipo: Automático; Uso: Personal;|Unidad|1 Unidad(es)|30279
233|27817|PANTALÓN|Material: Lona; Sexo: Masculino; Talla: 30; Tipo: Operativo;|Unidad|1 Unidad(es)|30290
233|27818|PANTALÓN|Material: Lona; Sexo: Masculino; Talla: 32; Tipo: Operativo;|Unidad|1 Unidad(es)|30291
233|27819|PANTALÓN|Material: Lona; Sexo: Masculino; Talla: 36; Tipo: Operativo;|Unidad|1 Unidad(es)|30292
233|27820|PANTALÓN|Material: Lona; Sexo: Masculino; Talla: 34; Tipo: Operativo;|Unidad|1 Unidad(es)|30293
241|27841|PAPEL BOND| Ancho: 26 Pulgadas;  Clase: Blanco;  Gramaje: 80 Gramos;  Largo: 34 Pulgadas; |Pliego|1 Unidad(es)|30312
267|27867|TINTA|Color: Negro; Tipo: Gotero; Uso: Almohadilla sello;|Bote|20 Mililitro|35455
267|27867|TINTA|Color: Negro; Tipo: Gotero; Uso: Almohadilla sello;|Bote|28 Mililitro|69477
267|27867|TINTA|Color: Negro; Tipo: Gotero; Uso: Almohadilla sello;|Bote|30 Mililitro|30335
291|27888|BANDERITAS|Ancho: 12 Milímetro(s); Clase: Adhesiva; Colores: 5; Largo: 42 Milímetro(s); Uso: Oficina;|Paquete|125 Unidad(es)|30354
268|27891|PALANGANA|Capacidad: 1 Litro(s); Material: Plástico;|Unidad|1 Unidad(es)|30402
291|27946|MARCADOR|Color: Negro; Uso: Rotular cd;|Unidad|1 Unidad(es)|30418
243|27979|TOALLA|Absorción: Doble; Diseño: Rollo; Hojas por rollo: 95; Material: Papel; Tipo: Mayordomo; Uso: Limpieza;|Unidad|1 Unidad(es)|43437
268|27983|BOLSA|Capacidad: 5 Libra(s); Material: Plástico;|Paquete|100 Unidad(es)|47475
268|28053|NYLON|Color: Negro; Tipo: Alta resistencia;|Rollo|88 Yarda|97866
268|28064|PROTECTOR PARA HOJAS|Color: Transparente; Material: Plástico; Tamaño: Oficio; Uso: Oficina;|Paquete|100 Unidad(es)|90500
292|28068|LIMPIAVIDRIOS| Estado: Líquido; |Envase|1 Galón|30555
292|28068|LIMPIAVIDRIOS| Estado: Líquido; |Envase|1 Litro|36713
292|28068|LIMPIAVIDRIOS| Estado: Líquido; |Envase con atomizador|720 Mililitro|30554
328|28078|QUEMADOR CD/DVD|Formato de soporte: Dvd+/-r / dvd+/-rw / dvd+/-r dl / dvd-ram / dvd-rom / cd-r / cd-rw / cd-rom; Puertos de conexión: Usb 2.0; Tipo: Externo;|Unidad|1 Unidad(es)|30565
211|28116|AVENA|Base: Instantánea; Ingredientes: Leche;|Vaso|40 Gramos|172094
264|28127|INSECTICIDA|Aroma: Neutro; Dispensador: Spray; Material: Líquido; Superficie: Ambiente; Uso: Plagas;|Envase|400 Mililitro|148456
264|28127|INSECTICIDA|Aroma: Neutro; Dispensador: Spray; Material: Líquido; Superficie: Ambiente; Uso: Plagas;|Envase|500 Mililitro|165437
268|28139|CINTA DE TEFLÓN|Ancho: 3/4 pulgadas;|Rollo|6 Metro|66708
211|28141|AVENA|Tipo: Molida;|Bolsa|1 Libra|41296
211|28141|AVENA|Tipo: Molida;|Bolsa|300 Gramos|67248
211|28146|MAYONESA|Tipo: Clásica;|Bolsa|1 Galón|47061
211|28146|MAYONESA|Tipo: Clásica;|Bolsa|390 Gramos|30678
211|28146|MAYONESA|Tipo: Clásica;|Bolsa|400 Gramos|61465
211|28146|MAYONESA|Tipo: Clásica;|Envase|1 Galón|40850
211|28146|MAYONESA|Tipo: Clásica;|Envase|443 Mililitro|180143
211|28146|MAYONESA|Tipo: Clásica;|Envase|880 Gramos|66889
211|28152|PIMIENTA NEGRA|Tipo: Polvo;|Bolsa|1 Libra|41677
211|28152|PIMIENTA NEGRA|Tipo: Polvo;|Cartón|12 Unidad(es)|88412
211|28152|PIMIENTA NEGRA|Tipo: Polvo;|Sobre|2.5 Gramos|40225
211|28161|SAZONADOR|Tipo: Polvo;|Bolsa|1 Libra|41660
211|28161|SAZONADOR|Tipo: Polvo;|Sobre|12 Gramos|30716
291|28168|REPUESTO DE TINTA|Contenido: Tinta; Material: Plástico;|Unidad|1 Unidad(es)|30703
268|28169|CONEXIÓN TEE|Diámetro: 3/4 pulgada; Material: Pvc;|Unidad|1 Unidad(es)|30704
293|28203|CRAYONES|Diseño: Hexagonal; Material: Madera; Tamaño: Grande; Uso: Didáctico;|Caja|12 Unidad(es)|30743
266|28229|GEL CONDUCTOR|Concentración: Hidroconductora; Tipo: Lubricante; Vía de administración: Tópico;|Tubo|120 Gramos|151198
291|28265|PLUMA|Grosor: 0.5 Milímetro(s); Material: Plástico;|Unidad|1 Unidad(es)|210340
211|28311|ATÚN|Clase: En agua; Estado: Conserva;|Lata|140 Gramos|53746
211|28315|PASTA|Tipo: Tomate;|Bolsa|7 Onza|126421
211|28315|PASTA|Tipo: Tomate;|Bolsa|8 Onza|37682
211|28315|PASTA|Tipo: Tomate;|Bote|170 Gramos|38212
244|28354|LIBRO DE CUENTA CORRIENTE|Diseño: Empastado; Hojas: 100;|Unidad|1 Unidad(es)|30901
266|28457|PROPINOXATO CLORHIDRATO + CLONIXINATO DE LISINA|Concentración: 10mg + 125mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|31004
266|28457|PROPINOXATO CLORHIDRATO + CLONIXINATO DE LISINA|Concentración: 10mg + 125mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|20 Unidad(es)|31006
292|28529|TOALLA|Ancho: 90 Centímetro(s); Largo: 90 Centímetro(s); Material: Tela; Uso: Trapear;|Unidad|1 Unidad(es)|31098
266|28530|ACETAMINOFÉN (PARACETAMOL)| Concentración: 1g;  Forma farmacéutica: Tableta efervescente;  Vía de administración: Oral; |Caja|20 Unidad(es)|177815
292|28701|VENTOSA PARA DESTAPAR BAÑO| Forma: Circular;  Largo: 40 centímetros;  Mango: Madera; |Unidad|1 Unidad(es)|31273
244|28769|LIBRO|Diseño: Empastado; Hojas: 200; Tamaño: Estándar; Uso: Actas;|Unidad|1 Unidad(es)|31334
268|28792|CONEXIÓN TEE|Diámetro: 1/2 pulgada; Material: Pvc;|Unidad|1 Unidad(es)|31358
268|28809|TARUGO|Material: Plástico; Número: 8; Uso: Fijación;|Bolsa|50 Unidad(es)|102780
211|28814|ACEITE|Categoría: Light; Clase: Oliva;|Botella|500 Mililitro|31389
211|28822|ACEITE|Categoría: Virgen; Clase: Oliva;|Botella|1 Litro|31403
268|28889|HILO|Color: Transparente; Material: Plástico; Tipo: Pescar;|Rollo|100 Metro|31477
243|29101|PAPEL|Ancho: 8 Pulgadas(s); Clase: Toallero; Largo: 400 Metro(s); Tipo: Jumbo roll;|Caja|12 Unidad(es)|41740
243|29101|PAPEL|Ancho: 8 Pulgadas(s); Clase: Toallero; Largo: 400 Metro(s); Tipo: Jumbo roll;|Rollo|1 Unidad(es)|31703
274|29207|CEMENTO|Tipo: Blanco; Uso: Construcción;|Saco|50 Kilogramos|31803
266|29379|CLOTRIMAZOL|Concentración: 2%; Forma farmacéutica: Crema; Vía de administración: Vaginal;|Tubo|20 Gramos|31973
266|29379|CLOTRIMAZOL|Concentración: 2%; Forma farmacéutica: Crema; Vía de administración: Vaginal;|Tubo|30 Gramos|31974
266|29381|DEXAMETASONA| Concentración: 8mg / 1ml;  Forma farmacéutica: Líquido inyectable;  Vía de administración: Intramuscular e intra­ve­nosa; |Ampolla|1 Mililitro|31976
295|29403|JERINGA|Aguja medida: Calibre no. 21g por 1 1/2 pulgada de longitud; Piezas: Cilindro, vástago, émbolo; Tribiselada: Si; Volumen: 5 Mililitro(s);|Caja|100 Unidad(es)|38011
299|29405|BANDEJA|Divisiones: 1; Material: Duroport; Uso: Alimentos;|Paquete|25 Unidad(es)|32009
266|29461|AMOXICILINA|Concentración: 500mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Empaque|100 Unidad(es)|178450
297|29486|PLAFONERA ELÉCTRICA|Material: Plástico;|Unidad|1 Unidad(es)|32094
211|29535|PASTA|Clase: Chao mein;|Bolsa|1 Libra|34525
211|29535|PASTA|Clase: Chao mein;|Bolsa|200 Gramos|32160
211|29535|PASTA|Clase: Chao mein;|Bolsa|230 Gramos|65406
211|29539|SALCHICHA|Animal: Pollo;|Paquete|1 Libra|38259
211|29553|CARNE ROJA|Animal: Res; Corte: Bolovique;|Bolsa|1 Libra|32187
211|29561|CARNE ROJA|Animal: Res; Corte: Cecina;|Bolsa|1 Libra|32188
211|29562|CARNE ROJA|Animal: Res; Corte: Posta;|Bolsa|1 Libra|32189
211|29564|CARNE BLANCA|Animal: Pollo; Corte: Piernas;|Bolsa|1 Libra|32191
211|29565|CARNE BLANCA|Animal: Pollo; Color: Amarillo; Corte: Entero;|Bolsa|1 Libra|32192
211|29631|CARNE ROJA|Animal: Res; Corte: Pata;|Empaque|2 Libra|100411
211|29650|CHILE|Variedad: Jalapeño;|Bolsa|1 Libra|32286
211|29650|CHILE|Variedad: Jalapeño;|Empaque|8 Onza|210522
211|29650|CHILE|Variedad: Jalapeño;|Unidad|1 Unidad(es)|64874
211|29658|TAMARINDO|Tipo: Pelado; Uso: Bebida natural;|Bolsa|1 Libra|32291
243|29677|MASKING TAPE|Ancho: 3 Pulgadas(s);|Rollo|40 Yarda|57450
268|29701|ADAPTADOR|Diámetro: 1/2 pulgadas; Material: Pvc; Rosca: Si; Tipo: Hembra;|Unidad|1 Unidad(es)|32324
268|29719|UNIÓN|Color: Blanco; Grosor: 1/2; Material: Pvc; Uso: Agua potable;|Unidad|1 Unidad(es)|32354
267|29720|TINTA|Color: Negro; Uso: Recarga, refill, rellenado;|Envase|500 Mililitro|32366
267|29722|TINTA|Color: Amarillo; Uso: Recarga, refill, rellenado;|Envase|500 Mililitro|32368
267|29726|TINTA|Color: Cian; Uso: Recarga, refill, rellenado;|Envase|500 Mililitro|32415
267|29729|TINTA|Color: Magenta; Uso: Recarga, refill, rellenado;|Envase|500 Mililitro|32417
283|29744|ALAMBRE|Tipo: Espigado;|Rollo|400 Vara|55824
295|29747|GUANTES|Material: Látex; Talla: Grande; Tipo: Desechables;|Caja|100 Unidad(es)|32391
268|29777|CODO|Diámetro: 1/2 pulgadas; Grados centígrados: 45; Material: Pvc; Textura: Liso;|Unidad|1 Unidad(es)|32412
211|29791|SAL|Tipo: Ajo;|Cartón|12 Unidad(es)|35315
211|29791|SAL|Tipo: Ajo;|Paquete|1 Libra|32434
211|29791|SAL|Tipo: Ajo;|Paquete|12 Unidad(es)|34515
211|29792|SAL|Tipo: Cebolla;|Cartón|12 Unidad(es)|35316
211|29792|SAL|Tipo: Cebolla;|Paquete|1 Libra|32435
211|29792|SAL|Tipo: Cebolla;|Paquete|12 Unidad(es)|34518
211|29807|CEREAL|Grano: Trigo; Tipo: Polvo;|Caja|200 Gramos|39619
292|29872|PALA|Material: Plástico; Uso: Recoger basura;|Unidad|1 Unidad(es)|32516
268|29925|TARUGO|Color: Azul; Diámetro: 5/16 pulgadas; Material: Plástico;|Unidad|1 Unidad(es)|32570
268|29953|CINTA DE TEFLÓN|Ancho: 1/2 pulgadas;|Rollo|7 Metro|119892
268|29972|CANALETA|Ancho: 1 Pulgadas(s); Color: Blanco; Largo: 3 Metro(s); Material: Plástico;|Unidad|1 Unidad(es)|32619
268|29994|TUBO|Color: Blanco; Diámetro: 1/2 pulgada; Largo: 6 Metro(s); Material: Pvc;|Unidad|1 Unidad(es)|32643
283|30008|CLAVO| Largo: 2 1/2 pulgada;  Uso: Lámina; |Bolsa|1 Libra|39819
283|30011|TORNILLO|Largo: 2 Pulgadas(s); Tipo: Busca rosca;|Unidad|1 Unidad(es)|32661
266|30040|ESOMEPRAZOL|Concentración: 40 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|32690
266|30050|CIPROFLOXACINA + HIDROCORTISONA|Concentración: 0.2% + 1%; Forma farmacéutica: Gotas; Vía de administración: Oftálmica;|Frasco gotero|10 Mililitro|67666
232|30092|PONCHO|Material: Franela; Tamaño: Semi matrimonial;|Unidad|1 Unidad(es)|32744
266|30095|BISOPROLOL|Concentración: 5 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Empaque|30 Unidad(es)|177779
266|30104|BECLOMETASONA|Concentración: 0.0125 g; Forma farmacéutica: Crema rectal; Vía de administración: Tópico;|Tubo|30 Gramos|32755
266|30118|DICLOFENACO|Concentración: 1%; Forma farmacéutica: Gel; Vía de administración: Tópico;|Tubo|20 Gramos|94812
266|30118|DICLOFENACO|Concentración: 1%; Forma farmacéutica: Gel; Vía de administración: Tópico;|Tubo|25 Gramos|177295
266|30118|DICLOFENACO|Concentración: 1%; Forma farmacéutica: Gel; Vía de administración: Tópico;|Tubo|30 Gramos|32770
266|30121|DIOSMINA MICRONIZADA|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|35675
266|30125|CALCIO CITRATO + COLECALCIFEROL (VITAMINA D3)|Concentración: 500 mg + 200 ui; Forma farmacéutica: Tableta; Vía de administración: Oral;|Frasco|30 Unidad(es)|32777
266|30129|ESOMEPRAZOL|Concentración: 20 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|32792
266|30147|HIERRO AMINOQUELADO|Concentración: 8.55mg/ml; Forma farmacéutica: Jarabe; Vía de administración: Oral;|Gotero|30 Mililitro|32810
269|30167|PEGAMENTO|Tipo: Gel; Uso: Multiusos;|Barra|40 Gramos|160155
269|30167|PEGAMENTO|Tipo: Gel; Uso: Multiusos;|Barra|42 Gramos|160156
269|30168|PEGAMENTO|Tipo: Gel; Uso: Pvc;|Envase|950 Mililitro|205949
266|30196|MELATONINA|Concentración: 5 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|172167
266|30203|POLIETILENGLICOL + PROPILENGLICOL (GOTAS LUBRICANTES OCULARES)|Concentración: 0.4% + 0.3%; Forma farmacéutica: Solución oftálmica; Vía de administración: Oftálmico;|Gotero|10 Mililitro|32881
266|30204|PROBIÓTICO|Concentración: 200 mg; Forma farmacéutica: Polvo; Vía de administración: Oral;|Sobre|1 Gramos|77997
266|30208|PROPINOXATO + CLONIXINATO DE LISINA|Concentración: 15mg/100mg; Forma farmacéutica: Ampolla; Vía de administración: Intramuscular;|Unidad|1 Unidad(es)|38146
266|30220|SULFATO DE ZINC|Concentración: 10mg/5ml; Forma farmacéutica: Líquido; Vía de administración: Oral;|Frasco|120 Mililitro|32903
266|30247|ZINC|Concentración: 15 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|32934
266|30247|ZINC|Concentración: 15 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Empaque|50 Unidad(es)|180659
266|30250|ASPARTATO DE ARGININA|Concentración: 2.5 g / 5ml; Forma farmacéutica: Líquido; Vía de administración: Oral;|Ampolla|10 Mililitro|32939
299|30297|VASO DESECHABLE|Capacidad: 10 Onza(s); Material: Duroport;|Paquete|25 Unidad(es)|33024
291|30322|GRAPA|Capacidad máxima de hojas aproximada: 100; Dimensión: 23/13; Tipo: Industrial;|Caja|1000 Unidad(es)|33079
211|30340|MIEL|Clase: Maple;|Bote|355 Mililitro|46694
211|30340|MIEL|Clase: Maple;|Botella|710 Mililitro|39654
291|30344|BOLÍGRAFO|Color: Rojo; Dimensión: 0.7 Milímetro(s); Tinta: Punta fina;|Caja|12 Unidad(es)|36028
291|30345|BOLÍGRAFO|Color: Azul; Dimensión: 0.7 Milímetro(s); Tinta: Punta fina;|Caja|12 Unidad(es)|148349
292|30350|ESCOBA|Material de cerdas: Plástico; Material del mango: Madera; Tamaño: Mediano;|Unidad|1 Unidad(es)|33127
269|30351|PEGAMENTO BLANCO|Consistencia: Viscosa; Ingrediente: Polivinilacetato; Secado: Rápido; Uso: Carpintería;|Envase|1 Galón|33718
274|30355|ADHESIVO PARA PISO|Uso: Cerámico;|Bolsa|20 Kilogramos|33136
261|30365|DESTAPA DRENAJE|Consistencia: Líquido; Finalidad: Destapa inodoros, fregaderos y cañerías obstruidas;|Envase|1 Galón|78426
297|30448|TOMACORRIENTE|Capacidad: 30 Amperio(s); Corriente: 240 Voltio(s); Tipo: Twist lock; Uso: Electricidad;|Unidad|1 Unidad(es)|33228
185|30487|CURSO DE COMPUTACIÓN DE WINDOWS Y OFFICE|Tipo: Servicio;|Unidad|1 Unidad(es)|33267
281|30527|COSTANERA|Alto: 2 Pulgadas(s); Ancho: 4 Pulgadas(s); Largo: 6 Metro(s); Material: Hierro;|Unidad|1 Unidad(es)|33325
244|30621|ARCHIVADOR|Agujeros: 2; Ancho de lomo: 3 pulgadas; Material de revestimiento: Plástico; Tamaño: Carta;|Unidad|1 Unidad(es)|33406
244|30624|ARCHIVADOR|Agujeros: 2; Ancho de lomo: 3 pulgadas; Material de revestimiento: Plástico; Tamaño: Oficio;|Unidad|1 Unidad(es)|33408
291|30628|LÁPIZ|Material: Madera; No: 2; Tipo: Hb;|Caja|12 Unidad(es)|33412
291|30628|LÁPIZ|Material: Madera; No: 2; Tipo: Hb;|Unidad|1 Unidad(es)|51175
299|30697|CINTA DE AISLAR|Ancho: 1/4 pulgadas;|Unidad|1 Unidad(es)|33484
299|30703|CINTA DE AISLAR|Ancho: 19 Milímetro(s); Largo: 20 Pulgadas(s);|Unidad|1 Unidad(es)|33487
185|30782|CURSO EXCEL NIVEL BÁSICO|Tipo: Servicio;|Unidad|1 Unidad(es)|33635
291|30969|CLIPS|Dimensión: 15 Milímetro(s); Material: Metal; Tipo: Binder;|Caja|12 Unidad(es)|63043
262|31056|ACEITE LUBRICANTE|Estado: Líquido; Propiedades: Anticorrosivo; Tipo: Multiusos 3 en 1;|Envase|1 Litro|53093
289|31131|CHAPA|Forma: Perilla; Material: Metal; Uso: Puerta de madera;|Unidad|1 Unidad(es)|33912
291|31139|GRAPA|Capacidad máxima de hojas aproximada: 25; Dimensión: 26/6; Tipo: Estándar;|Caja|5000 Unidad(es)|33919
292|31168|LIMPIADOR|Estado: Polvo; Propiedades: Limpia, desengrasa y desinfecta;|Envase|600 Gramos|33947
266|31271|CLORHIDRATO DE LOPERAMIDA|Concentración: 2 Miligramos(s); Forma farmacéutica: Tableta; Vía de administración: Oral;|Empaque|10 Unidad(es)|177760
284|31357|PORTABANNER|Alto: 2 Metro(s); Ancho: 0.8 Metro(s); Material: Aluminio; Tipo: Roll up; Uso: Manta vinílica;|Unidad|1 Unidad(es)|34144
243|31392|PAPEL HIGIÉNICO|Ancho: 12 Centímetro(s); Clase: Jumbo; Largo de bobina: 500 Metro(s);|Caja|12 Unidad(es)|42275
211|31694|SAL|Tipo: Yodada vitaminada;|Bolsa|1 Libra|76850
211|31694|SAL|Tipo: Yodada vitaminada;|Bolsa|400 Gramos|38415
211|31694|SAL|Tipo: Yodada vitaminada;|Empaque|454 Gramos|78725
211|31707|CARNE BLANCA|Animal: Cerdo; Corte: Lomito;|Bolsa|1 Libra|34505
211|31708|CARNE ROJA|Animal: Res; Corte: Con hueso;|Bolsa|1 Libra|34506
211|31709|CARNE ROJA|Animal: Res; Corte: Falda;|Bolsa|1 Libra|34507
299|31752|CINTA DE AISLAR|Ancho: 3/4 pulgadas; Largo: 66 Pies(s);|Rollo|1 Unidad(es)|34567
328|31791|UNIDAD DE PODER ININTERRUMPIDO (UPS)|Capacidad de carga: 2000 Voltiamperio(s); Capacidad de supresión de picos: No menor de 530 joules; No. de salida de tomacorrientes: 6; Rango de tolerancia: +/-5%; Tiempo máximo de respaldo de batería: 23 Minuto(s); Tiempo mínimo de respaldo de batería: 6 Minuto(s); Tipo: Torre; Tipo de alarma: Audible; Voltaje nominal de entrada: 110/120v;|Unidad|1 Unidad(es)|34607
328|31794|UNIDAD DE PODER ININTERRUMPIDO (UPS)|Capacidad de carga: 6000 Voltiamperio(s); Capacidad de supresión de picos: No menor de 480 joules; No. de salida de tomacorrientes: 4; Rango de tolerancia: 3%; Tiempo máximo de respaldo de batería: 15 Minuto(s); Tiempo mínimo de respaldo de batería: 5 Minuto(s); Tipo: Rack; Tipo de alarma: Audible; Voltaje nominal de entrada: 208/240v;|Unidad|1 Unidad(es)|34610
211|31813|CAFÉ|Tipo: Molido de cereal;|Paquete|1 Libra|42550
211|31816|FRIJOL NEGRO|Clase: Primera calidad; Cosecha: Reciente; Procedencia: Nacional; Tipo: Grano;|Bolsa|1 Libra|36188
211|31816|FRIJOL NEGRO|Clase: Primera calidad; Cosecha: Reciente; Procedencia: Nacional; Tipo: Grano;|Bolsa|400 Gramos|62205
211|31827|GALLETA|Tipo: Dulce;|Paquete|12 Unidad(es)|80200
211|31827|GALLETA|Tipo: Dulce;|Paquete|16 Unidad(es)|102322
211|31827|GALLETA|Tipo: Dulce;|Paquete|35 Gramos|34644
211|31827|GALLETA|Tipo: Dulce;|Paquete|4 Unidad(es)|97977
211|31827|GALLETA|Tipo: Dulce;|Paquete|6 Unidad(es)|47895
211|31827|GALLETA|Tipo: Dulce;|Unidad|1 Unidad(es)|76946
211|31835|CONCENTRADO PARA REFRESCO|Sabor: Varios;|Botella|678 Mililitro|42054
211|31835|CONCENTRADO PARA REFRESCO|Sabor: Varios;|Envase|1 Galón|34652
211|31836|SAL MARINA|Tipo: Yodada;|Bolsa|2 Libra|45956
211|31837|MARGARINA|Tipo: Vegetal;|Caja|1 Libra|54420
211|31837|MARGARINA|Tipo: Vegetal;|Caja|400 Gramos|34654
211|31837|MARGARINA|Tipo: Vegetal;|Caja|450 Gramos|45752
211|31837|MARGARINA|Tipo: Vegetal;|Paquete|5 Libra|55998
211|31837|MARGARINA|Tipo: Vegetal;|Pote|500 Gramos|45749
211|31838|PASTA|Clase: Mixta (codito, corbata, fideo entrefino y espagueti);|Bolsa|180 Gramos|79955
211|31838|PASTA|Clase: Mixta (codito, corbata, fideo entrefino y espagueti);|Bolsa|200 Gramos|48672
211|31841|MEZCLA DE HARINA|Componentes: Maíz y soya, fortificada e instantánea; Vitaminas y minerales: Vitamina a, tiamina, riboflavina, vitamina b12, niacina, hierro aminoquelado, calcio, zinc aminoquelado y ácido fólico;|Bolsa|1 Libra|52712
211|31841|MEZCLA DE HARINA|Componentes: Maíz y soya, fortificada e instantánea; Vitaminas y minerales: Vitamina a, tiamina, riboflavina, vitamina b12, niacina, hierro aminoquelado, calcio, zinc aminoquelado y ácido fólico;|Empaque|352 Gramos|182848
211|31841|MEZCLA DE HARINA|Componentes: Maíz y soya, fortificada e instantánea; Vitaminas y minerales: Vitamina a, tiamina, riboflavina, vitamina b12, niacina, hierro aminoquelado, calcio, zinc aminoquelado y ácido fólico;|Empaque|450 Gramos|180648
211|31842|MEZCLA DE HARINA|Componentes: Maíz y soya fortificada; Vitaminas y minerales: Vitamina a, tiamina, riboflavina, vitamina b12, niacina, hierro aminoquelado, calcio, zinc aminoquelado y ácido fólico;|Bolsa|1 Libra|66583
211|31842|MEZCLA DE HARINA|Componentes: Maíz y soya fortificada; Vitaminas y minerales: Vitamina a, tiamina, riboflavina, vitamina b12, niacina, hierro aminoquelado, calcio, zinc aminoquelado y ácido fólico;|Bolsa|450 Gramos|34659
211|31842|MEZCLA DE HARINA|Componentes: Maíz y soya fortificada; Vitaminas y minerales: Vitamina a, tiamina, riboflavina, vitamina b12, niacina, hierro aminoquelado, calcio, zinc aminoquelado y ácido fólico;|Empaque|900 Gramos|187190
211|31854|BEBIDA|Componentes: Harina de maíz y soya; Sabor: Varios; Vitaminas y minerales: Vitamina a, tiamina, riboflavina,  niacina, hierro, calcio, zinc y ácido fólico;|Tetra pak|200 Mililitro|34672
269|31892|CERA|Tipo: Líquida; Uso: Vehículo;|Envase|1 Galón|46083
211|31900|TAMARINDO|Tipo: Vaina; Uso: Bebida natural;|Bolsa|1 Libra|34727
211|31922|ARROZ BLANCO|Grano: Largo;|Bolsa|1 Libra|34758
211|31922|ARROZ BLANCO|Grano: Largo;|Bolsa|400 Gramos|34759
211|31922|ARROZ BLANCO|Grano: Largo;|Bolsa|5 Libra|171393
